Label,Estimate,Margin of error
AGE BY EDUCATIONAL ATTAINMENT,,
Population 18 to 24 years,"63,583","±2,846"
Less than high school graduate,"1,277",±704
High school graduate (includes equivalency),"19,055","±3,355"
Some college or associate's degree,"26,850","±4,144"
Bachelor's degree or higher,"16,401","±2,819"
Population 25 years and over,"181,585","±3,288"
Less than 9th grade,"1,711",±884
"9th to 12th grade, no diploma","3,126",±963
High school graduate (includes equivalency),"22,996","±2,643"
"Some college, no degree","26,575","±2,997"
Associate's degree,"14,553","±2,313"
Bachelor's degree,"63,302","±3,388"
Graduate or professional degree,"49,322","±3,461"
High school graduate or higher,"176,748","±3,529"
Bachelor's degree or higher,"112,624","±4,758"
Population 25 to 34 years,"53,655","±3,064"
High school graduate or higher,"52,568","±3,224"
Bachelor's degree or higher,"39,837","±2,806"
Population 35 to 44 years,"38,244","±2,655"
High school graduate or higher,"37,386","±2,635"
Bachelor's degree or higher,"23,359","±2,593"
Population 45 to 64 years,"50,484","±2,981"
High school graduate or higher,"49,060","±2,977"
Bachelor's degree or higher,"28,067","±2,552"
Population 65 years and over,"39,202","±2,825"
High school graduate or higher,"37,734","±2,778"
Bachelor's degree or higher,"21,361","±2,626"
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,
White alone,"137,890","±4,207"
High school graduate or higher,"135,583","±4,082"
Bachelor's degree or higher,"87,975","±4,194"
"White alone, not Hispanic or Latino","136,366","±4,240"
High school graduate or higher,"134,119","±4,095"
Bachelor's degree or higher,"86,947","±4,187"
Black alone,"11,106","±2,252"
High school graduate or higher,"10,808","±2,291"
Bachelor's degree or higher,"4,214","±1,617"
American Indian or Alaska Native alone,N,N
High school graduate or higher,N,N
Bachelor's degree or higher,N,N
Asian alone,"15,582","±2,082"
High school graduate or higher,"14,622","±1,986"
Bachelor's degree or higher,"11,606","±1,714"
Native Hawaiian and Other Pacific Islander alone,N,N
High school graduate or higher,N,N
Bachelor's degree or higher,N,N
Some other race alone,"3,094","±1,142"
High school graduate or higher,"2,623","±1,072"
Bachelor's degree or higher,"1,040",±648
Two or more races,"13,432","±2,509"
High school graduate or higher,"12,631","±2,437"
Bachelor's degree or higher,"7,431","±1,464"
Hispanic or Latino Origin,"9,917","±2,269"
High school graduate or higher,"9,023","±2,163"
Bachelor's degree or higher,"5,115","±1,444"
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,
Less than high school graduate,(X),(X)
High school graduate (includes equivalency),(X),(X)
Some college or associate's degree,(X),(X)
Bachelor's degree or higher,(X),(X)
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS),,
Population 25 years and over with earnings,"59,136","±3,844"
Less than high school graduate,"27,301","±17,068"
High school graduate (includes equivalency),"38,628","±3,226"
Some college or associate's degree,"50,152","±4,093"
Bachelor's degree,"66,584","±4,654"
Graduate or professional degree,"70,153","±2,661"
