Label,estimate,margin of error
AGE BY EDUCATIONAL ATTAINMENT,,
Population 18 to 24 years,"9,118","±1,416"
Less than high school graduate,966,±596
High school graduate (includes equivalency),"3,467","±1,106"
Some college or associate's degree,"3,446",±977
Bachelor's degree or higher,"1,239",±688
Population 25 years and over,"67,046","±2,044"
Less than 9th grade,"2,311",±841
"9th to 12th grade, no diploma","3,104",±899
High school graduate (includes equivalency),"17,181","±2,294"
"Some college, no degree","13,950","±1,754"
Associate's degree,"9,215","±1,959"
Bachelor's degree,"15,210","±1,928"
Graduate or professional degree,"6,075","±1,236"
High school graduate or higher,"61,631","±2,155"
Bachelor's degree or higher,"21,285","±2,173"
Population 25 to 34 years,"15,360","±1,515"
High school graduate or higher,"14,308","±1,556"
Bachelor's degree or higher,"5,365","±1,254"
Population 35 to 44 years,"13,816","±1,392"
High school graduate or higher,"13,142","±1,444"
Bachelor's degree or higher,"4,787",±969
Population 45 to 64 years,"23,332","±1,861"
High school graduate or higher,"21,057","±1,808"
Bachelor's degree or higher,"8,025","±1,268"
Population 65 years and over,"14,538","±1,503"
High school graduate or higher,"13,124","±1,443"
Bachelor's degree or higher,"3,108",±797
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,
White alone,"52,105","±2,416"
High school graduate or higher,"49,018","±2,388"
Bachelor's degree or higher,"17,801","±1,679"
"White alone, not Hispanic or Latino","48,048","±2,383"
High school graduate or higher,"45,322","±2,355"
Bachelor's degree or higher,"16,962","±1,644"
Black alone,"6,304","±1,003"
High school graduate or higher,"5,672","±1,124"
Bachelor's degree or higher,"1,021",±526
American Indian or Alaska Native alone,N,N
High school graduate or higher,N,N
Bachelor's degree or higher,N,N
Asian alone,N,N
High school graduate or higher,N,N
Bachelor's degree or higher,N,N
Native Hawaiian and Other Pacific Islander alone,N,N
High school graduate or higher,N,N
Bachelor's degree or higher,N,N
Some other race alone,N,N
High school graduate or higher,N,N
Bachelor's degree or higher,N,N
Two or more races,"5,054","±1,475"
High school graduate or higher,"4,314","±1,334"
Bachelor's degree or higher,"1,531",±828
Hispanic or Latino Origin,"8,967","±2,009"
High school graduate or higher,"7,176","±1,799"
Bachelor's degree or higher,"2,154","±1,004"
POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,,
Less than high school graduate,(X),(X)
High school graduate (includes equivalency),(X),(X)
Some college or associate's degree,(X),(X)
Bachelor's degree or higher,(X),(X)
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS),,
Population 25 years and over with earnings,"52,106","±3,166"
Less than high school graduate,"43,609","±8,427"
High school graduate (includes equivalency),"39,834","±7,476"
Some college or associate's degree,"51,079","±2,711"
Bachelor's degree,"60,204","±6,390"
Graduate or professional degree,"77,737","±9,845"
